,catchment3,catchment4,catchment5,catchment6,catchment_1,catchment_2
226,[0.07875533],[0.],[0.04624819],[0.04668797],[0.05204045],[0.08067082]
227,[0.07556285],[0.],[0.04437245],[0.04479408],[0.04993056],[0.07739971]
228,[0.06976368],[0.],[0.04096742],[0.04135622],[0.04609872],[0.07145971]
229,[0.06689347],[0.],[0.03928262],[0.03965501],[0.04420224],[0.06852038]
230,[0.06465485],[0.],[0.03796762],[0.03832877],[0.04272307],[0.06622646]
231,[0.06117293],[0.],[0.03592253],[0.03626467],[0.04042224],[0.06266074]
232,[0.05880038],[0.],[0.03452976],[0.03485808],[0.03885494],[0.0602303]
233,[0.05576688],[0.],[0.03274819],[0.0330601],[0.03685046],[0.05712422]
234,[0.05215882],[0.],[0.03062966],[0.0309217],[0.03446669],[0.05342803]
235,[0.04888685],[0.],[0.02870726],[0.02898029],[0.03230323],[0.05007485]
236,[0.04706467],[0.],[0.02763763],[0.02790029],[0.03109968],[0.04820861]
237,[0.04587581],[0.],[0.02693952],[0.02719613],[0.0303143],[0.04699123]
238,[0.04472237],[0.],[0.02626214],[0.02651184],[0.02955139],[0.04580928]
239,[0.04282848],[0.],[0.02515018],[0.0253895],[0.02830032],[0.0438696]
240,[0.0418703],[0.],[0.02458771],[0.02482099],[0.02766701],[0.0428881]
241,[0.0404473],[0.],[0.02375136],[0.02397773],[0.02672698],[0.04143053]
242,[0.03923078],[0.],[0.0230377],[0.02325629],[0.02592346],[0.04018464]
243,[0.04050086],[0.],[0.02378246],[0.02400883],[0.02676154],[0.04148496]
244,[0.03897418],[0.],[0.02288736],[0.02310509],[0.02575411],[0.03992285]
245,[0.03773434],[0.],[0.02215901],[0.02237069],[0.02493504],[0.03865277]
246,[0.03618778],[0.],[0.02125094],[0.02145312],[0.02391293],[0.03706819]
247,[0.03458678],[0.],[0.02031005],[0.02050272],[0.02285453],[0.03542832]
248,[0.03362083],[0.],[0.01974326],[0.01993075],[0.02221603],[0.03443818]
249,[0.0327983],[0.],[0.01926029],[0.01944346],[0.02167258],[0.03359664]
250,[0.03198787],[0.],[0.01878422],[0.01896221],[0.0211369],[0.03276547]
251,[0.03091738],[0.],[0.01815523],[0.01832803],[0.02042928],[0.03166906]
252,[0.02955658],[0.],[0.0173569],[0.01752192],[0.01953158],[0.03027629]
253,[0.02897078],[0.],[0.01701302],[0.01717459],[0.01914365],[0.02967581]
254,[0.02830032],[0.],[0.01661904],[0.01677629],[0.01870042],[0.02898806]
255,[0.02765664],[0.],[0.01624147],[0.01639526],[0.01827533],[0.0283297]
256,[0.02673216],[0.],[0.01569802],[0.01584749],[0.01766448],[0.02738189]
257,[0.02598912],[0.],[0.0152617],[0.01540685],[0.01717373],[0.02662157]
258,[0.02562883],[0.],[0.01505002],[0.01519258],[0.01693526],[0.02625178]
259,[0.02550269],[0.],[0.01497658],[0.01511914],[0.01685232],[0.0261239]
260,[0.0248927],[0.],[0.01461802],[0.01475712],[0.01644883],[0.02549837]
261,[0.02398464],[0.],[0.01408493],[0.01421885],[0.01584835],[0.02456784]
262,[0.02360707],[0.],[0.01386288],[0.01399507],[0.01559952],[0.02418077]
263,[0.02309299],[0.],[0.01356048],[0.01369008],[0.0152591],[0.02365373]
264,[0.02278541],[0.],[0.01338077],[0.01350778],[0.01505693],[0.02333923]
265,[0.02221344],[0.],[0.01304467],[0.01316822],[0.0146785],[0.02275344]
266,[0.02193955],[0.],[0.0128831],[0.01300579],[0.01449706],[0.02247264]
267,[0.02171318],[0.],[0.01275091],[0.01287274],[0.01434845],[0.02224195]
268,[0.02149286],[0.],[0.01262131],[0.01274054],[0.01420157],[0.02201472]
269,[0.02083104],[0.],[0.01223251],[0.01234915],[0.01376525],[0.02133821]
270,[0.02049235],[0.],[0.01203379],[0.01214784],[0.01354147],[0.02099088]
271,[0.02000506],[0.],[0.01174694],[0.01185926],[0.01321834],[0.02049062]
272,[0.01980115],[0.],[0.01162771],[0.0117383],[0.01308442],[0.02028326]
273,[0.02672611],[0.],[0.01569456],[0.01584403],[0.01766016],[0.0273767]
274,[0.0261481],[0.],[0.01535501],[0.01550189],[0.01727827],[0.026784]
275,[0.0259632],[0.],[0.01524614],[0.0153913],[0.01715645],[0.02659478]
276,[0.02543875],[0.],[0.01493856],[0.01508112],[0.01680998],[0.02605738]
277,[0.02504822],[0.],[0.01470874],[0.01484957],[0.01655165],[0.02565734]
278,[0.02455229],[0.],[0.01441757],[0.01455494],[0.01622333],[0.02514931]
279,[0.02417645],[0.],[0.01419725],[0.0143329],[0.01597622],[0.02476397]
280,[0.02339021],[0.],[0.01373587],[0.01386634],[0.0154561],[0.02395872]
281,[0.02333059],[0.],[0.01370045],[0.01383091],[0.01541722],[0.02389824]
