,catchment3,catchment4,catchment5,catchment6,catchment_1,catchment_2
296,[0.01941149],0,[0.01139875],[0.01150762],[0.01282694],[0.01988323]
297,[0.01929658],0,[0.01133136],[0.0114385],[0.01275005],[0.01976486]
298,[0.01907453],0,[0.0112009],[0.01130803],[0.01260403],[0.01953763]
299,[0.01876435],0,[0.01101946],[0.011124],[0.01240013],[0.01922141]
300,[0.01832026],0,[0.01075853],[0.01086134],[0.01210637],[0.01876608]
301,[0.0181656],0,[0.01066781],[0.0107689],[0.01200355],[0.0186071]
302,[0.01806797],0,[0.01060992],[0.01071101],[0.01193962],[0.01850688]
303,[0.01796947],0,[0.01055203],[0.01065226],[0.01187395],[0.01840579]
304,[0.01797255],0,[0.01055384],[0.01065408],[0.01187599],[0.01840895]
305,[0.01798452],0,[0.01056087],[0.01066118],[0.0118839],[0.01842121]
306,[0.01800721],0,[0.0105742],[0.01067463],[0.01189889],[0.01844445]
307,[0.01803882],0,[0.01059276],[0.01069337],[0.01191978],[0.01847683]
308,[0.01807767],0,[0.01061558],[0.0107164],[0.01194545],[0.01851663]
309,[0.01812244],0,[0.01064187],[0.01074294],[0.01197503],[0.01856249]
310,[0.01817199],0,[0.01067097],[0.01077231],[0.01200777],[0.01861325]
311,[0.01822512],0,[0.01070217],[0.01080381],[0.01204288],[0.01866767]
312,[0.01828059],0,[0.01073474],[0.0108367],[0.01207953],[0.0187245]
313,[0.01833713],0,[0.01076795],[0.01087022],[0.01211689],[0.01878242]
314,[0.01839375],0,[0.0108012],[0.01090379],[0.01215431],[0.01884043]
315,[0.01844994],0,[0.0108342],[0.01093711],[0.01219144],[0.01889799]
316,[0.01850514],0,[0.01086662],[0.01096984],[0.01222791],[0.01895454]
317,[0.01855848],0,[0.01089795],[0.01100147],[0.01226316],[0.01900919]
318,[0.01859338],0,[0.01091845],[0.01102216],[0.01228622],[0.01904493]
319,[0.01860828],0,[0.01092721],[0.01103099],[0.01229606],[0.0190602]
320,[0.01826582],0,[0.01072656],[0.01082851],[0.01207008],[0.01871078]
321,[0.01822608],0,[0.01070323],[0.01080432],[0.01204416],[0.01866931]
322,[0.01799194],0,[0.01056499],[0.01066522],[0.01188864],[0.01842912]
323,[0.01796342],0,[0.01054944],[0.0106488],[0.0118705],[0.01840147]
324,[0.01744243],0,[0.01024272],[0.01034035],[0.01152576],[0.01786752]
325,[0.0172463],0,[0.01012694],[0.01022371],[0.0113953],[0.01766448]
326,[0.01698538],0,[0.00997402],[0.01006906],[0.01122336],[0.0173975]
327,[0.0166657],0,[0.00978653],[0.00987898],[0.01101254],[0.01707091]
328,[0.01654992],0,[0.00971827],[0.00981158],[0.01093565],[0.01695254]
329,[0.01647648],0,[0.00967507],[0.00976752],[0.01088726],[0.01687738]
330,[0.01647475],0,[0.00967507],[0.00976666],[0.0108864],[0.01687565]
331,[0.01644538],0,[0.00965693],[0.00974851],[0.01086653],[0.01684541]
332,[0.01609805],0,[0.00945302],[0.00954288],[0.01063757],[0.01648944]
333,[0.01566432],0,[0.00919901],[0.00928627],[0.01035072],[0.01604448]
334,[0.01511309],0,[0.00887501],[0.00895968],[0.00998611],[0.01548029]
335,[0.01512437],0,[0.00888163],[0.00896636],[0.00999356],[0.01549184]
336,[0.01516788],0,[0.00890718],[0.00899216],[0.01002232],[0.01553641]
337,[0.01524991],0,[0.00895535],[0.00904078],[0.01007652],[0.01562043]
338,[0.01536356],0,[0.00902208],[0.00910815],[0.01015162],[0.01573683]
339,[0.01550283],0,[0.00910386],[0.0091907],[0.01024364],[0.01587948]
340,[0.0156632],0,[0.00919803],[0.00928577],[0.01034962],[0.01604375]
341,[0.01584026],0,[0.009302],[0.00939072],[0.01046662],[0.01622511]
342,[0.01602962],0,[0.00941319],[0.00950297],[0.01059174],[0.01641906]
343,[0.0162281],0,[0.00952974],[0.00962062],[0.0107229],[0.01662237]
344,[0.01643322],0,[0.00965019],[0.00974221],[0.01085844],[0.01683247]
345,[0.01664299],0,[0.00977337],[0.00986655],[0.01099706],[0.01704733]
346,[0.01685534],0,[0.00989806],[0.00999242],[0.01113738],[0.01726485]
