Date,Simulated TDS,Threshold,Output
1960-03-19,162.3684096,170,0.093312
1960-03-20,162.0878647,170,0.093312
1960-03-21,161.8556377,170,0.093312
1960-03-22,161.7100235,170,0.093312
1960-03-23,161.6232902,170,0.093312
1960-03-24,161.5745154,170,0.093312
1960-03-25,161.5863878,170,0.093312
1960-03-26,161.6406512,170,0.093312
1960-03-27,161.7170073,170,0.093312
1960-03-28,161.8018411,170,0.093312
1960-03-29,161.9078669,170,0.093312
1960-03-30,162.029055,170,0.093312
1960-03-31,162.1788523,170,0.093312
1960-04-01,162.3058959,170,0.0905472
1960-04-02,162.4194871,170,0.0905472
1960-04-03,162.5215657,170,0.0905472
1960-04-04,162.5883897,170,0.0905472
1960-04-05,162.6650207,170,0.0905472
1960-04-06,162.7527341,170,0.0905472
1960-04-07,162.8480572,170,0.0905472
1960-04-08,162.9484491,170,0.0905472
1960-04-09,163.0513566,170,0.0905472
1960-04-10,163.1563349,170,0.0905472
1960-04-11,163.2549706,170,0.0905472
1960-04-12,163.3439621,170,0.0905472
1960-04-13,163.4242694,170,0.0905472
1960-04-14,163.4974444,170,0.0905472
1960-04-15,163.5666386,170,0.0905472
1960-04-16,163.6315942,170,0.0905472
1960-04-17,163.6910844,170,0.0905472
1960-04-18,163.7477103,170,0.0905472
1960-04-19,163.799644,170,0.0905472
1960-04-20,163.8497195,170,0.0905472
1960-04-21,163.8982577,170,0.0905472
1960-04-22,163.9181968,170,0.0905472
1960-04-23,163.535942,170,0.0905472
1960-04-24,162.7423235,170,0.0905472
1960-04-25,163.0889373,170,0.0905472
1960-04-26,162.5950921,170,0.0905472
1960-04-27,162.0897495,170,0.0905472
1960-04-28,161.6720502,170,0.0905472
1960-04-29,161.4042443,170,0.0905472
1960-04-30,161.2709502,170,0.0905472
1960-05-01,161.2694775,170,0.0909792
1960-05-02,161.189141,170,0.0909792
1960-05-03,161.1594269,170,0.0909792
1960-05-04,161.1770488,170,0.0909792
1960-05-05,161.2368105,170,0.0909792
